STATE,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
Texas,405938,399308,426719,529492,724422,927417,1157917,1256974,1163213,1272575
North Dakota,62322,79318,112524,152387,242325,312294,394603,429583,377803,392127
Alaska,249893,235510,218904,204829,192401,187923,181130,176235,179169,180467
California,214533,207262,200370,196172,197211,198928,204699,201284,186079,174107
New Mexico,60155,61178,65569,71506,85552,102789,125021,147663,146389,171440
Oklahoma,67299,65165,68098,77208,94434,115220,140086,166801,155679,165920
Colorado,29946,30365,33014,39472,49619,66222,95560,122792,116481,130732
Wyoming,53045,51531,53891,54621,57966,63487,76119,86409,72553,75669
Louisiana,72346,68822,67273,68958,70591,71938,69335,63610,56820,52024
Kansas,39663,39466,40468,41507,43743,46846,49513,45467,37938,35822
Utah,22039,22940,24663,26305,30210,35016,40898,37139,30529,34205
Montana,31596,27835,25332,24155,26494,29288,29897,28557,23178,20706
Ohio,5088,4890,4772,4657,5111,8009,15078,26701,21559,18942
Mississippi,22104,23232,24080,24246,24593,24345,24346,24918,20385,17781
West Virginia,2126,1501,1842,2146,2573,7239,10330,11572,7636,9469
Illinois,9430,9099,9067,9158,9733,9539,9546,9520,8639,8314
Alabama,7696,7189,7155,8373,9525,10408,9825,9694,8107,6827
Pennsylvania,2999,2967,3238,3431,4319,5307,6849,7085,6306,6573
Michigan,6370,6258,6978,7038,7446,7097,7470,6652,5675,5319
Arkansas,6079,5755,5733,5877,6536,6640,6775,6229,5519,5288
Kentucky,2645,2609,2519,2326,3198,2305,2626,2862,2595,2477
Nebraska,2394,2239,2331,2544,3025,2808,3050,2910,2288,2125
Florida,1953,696,1777,2023,2135,2174,2227,2208,1934,1923
Indiana,1859,1803,1835,1987,2350,2399,2507,2219,1817,1779
South Dakota,1700,1664,1607,1634,1754,1850,1798,1666,1407,1305
Nevada,436,438,426,408,368,334,316,281,277,286
Tennessee,338,268,257,296,371,334,330,296,257,271
New York,387,333,381,375,362,366,356,286,225,184
Missouri,99,106,146,118,175,199,196,149,123,113
Idaho,0,0,0,0,0,0,0,30,215,91
Arizona,54,46,37,37,52,60,56,37,8,13
Virginia,16,12,12,11,9,10,14,11,7,7
Connecticut,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0
